detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.52759373,3.6300000000000003,1,1,0,1,[section_rename],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759373,3.9600000000000004,2,1,0,1,[section_rename; upx_pack],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759373,4.29,3,1,0,1,[section_rename; upx_pack; section_append],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759373,4.62,4,1,0,1,[section_rename; upx_pack; section_append; section_rename],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759373,4.95,5,1,0,1,[section_rename; upx_pack; section_append; section_rename; section_rename],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759415,5.28,6,1,0,1,[section_rename; upx_pack; section_append; section_rename; section_rename; imports_append],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759415,5.61,7,1,0,1,[section_rename; upx_pack; section_append; section_rename; section_rename; imports_append; remove_signature],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.52759415,2.64,8,1,0,0,[section_rename; upx_pack; section_append; section_rename; section_rename; imports_append; remove_signature; section_add],80fa5f2651f74b114e2d75d255f31264dcd1cdfc12cafcd089d3365d177b8e31
0.67306453,3.6300000000000003,1,2,0,1,[upx_pack],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,3.9600000000000004,2,2,0,1,[upx_pack; upx_pack],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,4.29,3,2,0,1,[upx_pack; upx_pack; remove_signature],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,4.62,4,2,0,1,[upx_pack; upx_pack; remove_signature; break_optional_header_checksum],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,4.95,5,2,0,1,[upx_pack; upx_pack; remove_signature; break_optional_header_checksum; remove_signature],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,5.28,6,2,0,1,[upx_pack; upx_pack; remove_signature; break_optional_header_checksum; remove_signature; upx_pack],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.67306453,2.31,7,2,0,0,[upx_pack; upx_pack; remove_signature; break_optional_header_checksum; remove_signature; upx_pack; section_add],e9e1bcfd889d5d8da9289ff6d9fadf1e325ad941b1f3881118f74f7590ed4b31
0.5214107,3.6300000000000003,1,3,0,1,[upx_pack],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,3.9600000000000004,2,3,0,1,[upx_pack; overlay_append],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,4.29,3,3,0,1,[upx_pack; overlay_append; upx_pack],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,4.62,4,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,4.95,5,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,5.28,6,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename; remove_signature],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,5.61,7,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename; remove_signature; upx_pack],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,5.94,8,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename; remove_signature; upx_pack; section_append],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,6.2700000000000005,9,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename; remove_signature; upx_pack; section_append; remove_signature],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.5214107,6.6000000000000005,10,3,0,1,[upx_pack; overlay_append; upx_pack; upx_pack; section_rename; remove_signature; upx_pack; section_append; remove_signature; upx_pack],ebf034444266258686103e6ac917bc541636671a77a052fff921084a0f79fbab
0.555877,3.6300000000000003,1,4,0,1,[section_append],01b3cd145a55fdc6a3e89fb88ba1433ecb3c50ecd591ff49ee38735bb55d46d9
0.555877,3.9600000000000004,2,4,0,1,[section_append; remove_debug],01b3cd145a55fdc6a3e89fb88ba1433ecb3c50ecd591ff49ee38735bb55d46d9
0.555877,0.99,3,4,0,0,[section_append; remove_debug; section_add],01b3cd145a55fdc6a3e89fb88ba1433ecb3c50ecd591ff49ee38735bb55d46d9
0.5932927,3.6300000000000003,1,5,0,1,[section_rename],44ec1a480afbb95258afbbe8fd9d8d8c694c49fd2fa35205f6c777e0a81a7de9
