detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.6841803,3.6300000000000003,1,1,0,1,[remove_signature],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.6841803,3.9600000000000004,2,1,0,1,[remove_signature; remove_debug],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.68414617,4.29,3,1,0,1,[remove_signature; remove_debug; imports_append],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.68414617,4.62,4,1,0,1,[remove_signature; remove_debug; imports_append; section_append],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.68414617,4.95,5,1,0,1,[remove_signature; remove_debug; imports_append; section_append; overlay_append],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.68417835,1.98,6,1,0,0,[remove_signature; remove_debug; imports_append; section_append; overlay_append; section_add],a50c5d39fc21ccc51d78d76bbec723414f505f40a56961ac00b567ba0d5bda36
0.5104112,3.6300000000000003,1,2,0,1,[imports_append],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.5104112,3.9600000000000004,2,2,0,1,[imports_append; overlay_append],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.5104112,4.29,3,2,0,1,[imports_append; overlay_append; section_rename],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,4.62,4,2,0,1,[imports_append; overlay_append; section_rename; section_add],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,4.95,5,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,5.28,6,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append; remove_debug],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,5.61,7,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append; remove_debug; break_optional_header_checksum],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,5.94,8,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append; remove_debug; break_optional_header_checksum; break_optional_header_checksum],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,6.2700000000000005,9,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append; remove_debug; break_optional_header_checksum; break_optional_header_checksum; section_append],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.51045936,6.6000000000000005,10,2,0,1,[imports_append; overlay_append; section_rename; section_add; section_append; remove_debug; break_optional_header_checksum; break_optional_header_checksum; section_append; overlay_append],11c78d20a0c9e81d07b41ed1b6501633cb7d272e11d8429367a38caa5af21cbd
0.5674915,3.6300000000000003,1,3,0,1,[section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,3.9600000000000004,2,3,0,1,[section_append; section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,4.29,3,3,0,1,[section_append; section_append; section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,4.62,4,3,0,1,[section_append; section_append; section_append; section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,4.95,5,3,0,1,[section_append; section_append; section_append; section_append; break_optional_header_checksum],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,5.28,6,3,0,1,[section_append; section_append; section_append; section_append; break_optional_header_checksum; break_optional_header_checksum],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,5.61,7,3,0,1,[section_append; section_append; section_append; section_append; break_optional_header_checksum; break_optional_header_checksum; section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,5.94,8,3,0,1,[section_append; section_append; section_append; section_append; break_optional_header_checksum; break_optional_header_checksum; section_append; section_rename],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
0.5674915,6.2700000000000005,9,3,0,1,[section_append; section_append; section_append; section_append; break_optional_header_checksum; break_optional_header_checksum; section_append; section_rename; section_append],6a2a639f212e1d59e964e24485b26f450196b79af07534d7f3b90055fdbbc984
