detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.84743243,3.6300000000000003,1,1,0,1,[remove_signature],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84743243,3.9600000000000004,2,1,0,1,[remove_signature; upx_unpack],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84743243,4.29,3,1,0,1,[remove_signature; upx_unpack; upx_unpack],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84743243,4.62,4,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84743243,4.95,5,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84746325,5.28,6,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack; section_add],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84746325,5.61,7,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack; section_add; section_add],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84746325,5.94,8,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack; section_add; section_add; section_rename],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84746325,6.2700000000000005,9,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack; section_add; section_add; section_rename; section_rename],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.84746325,6.6000000000000005,10,1,0,1,[remove_signature; upx_unpack; upx_unpack; upx_unpack; upx_pack; section_add; section_add; section_rename; section_rename; section_add],04d6d99c20ffcf200e881bcd2ac5e7fc48c3e12bee92e737a0810952f66a1628
0.73238176,3.6300000000000003,1,2,0,1,[section_append],3611a905caf5ec0b9c9b1d1cd0168c1edefe848beab533669836ae62446c472b
0.73238176,0.66,2,2,0,0,[section_append; section_add],3611a905caf5ec0b9c9b1d1cd0168c1edefe848beab533669836ae62446c472b
0.748524,3.6300000000000003,1,3,0,1,[section_rename],dd8cc7c6c62fe9960c0a911990cac4ea27e8cfc71d16199e4e9c90e28e85f72c
0.748524,3.9600000000000004,2,3,0,1,[section_rename; upx_unpack],dd8cc7c6c62fe9960c0a911990cac4ea27e8cfc71d16199e4e9c90e28e85f72c
0.748524,4.29,3,3,0,1,[section_rename; upx_unpack; section_rename],dd8cc7c6c62fe9960c0a911990cac4ea27e8cfc71d16199e4e9c90e28e85f72c
0.748524,4.62,4,3,0,1,[section_rename; upx_unpack; section_rename; upx_unpack],dd8cc7c6c62fe9960c0a911990cac4ea27e8cfc71d16199e4e9c90e28e85f72c
0.748524,1.6500000000000001,5,3,0,0,[section_rename; upx_unpack; section_rename; upx_unpack; section_add],dd8cc7c6c62fe9960c0a911990cac4ea27e8cfc71d16199e4e9c90e28e85f72c
0.7148645,0.33,1,4,0,0,[section_add],9f907ef41d9526498cb8b56f8d91d55227e7a761426e7d2e89008016d6392800
0.86087066,3.6300000000000003,1,5,0,1,[imports_append],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,3.9600000000000004,2,5,0,1,[imports_append; section_add],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,4.29,3,5,0,1,[imports_append; section_add; break_optional_header_checksum],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,4.62,4,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,4.95,5,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,5.28,6,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature; upx_unpack],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,5.61,7,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature; upx_unpack; upx_pack],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.8609109,5.94,8,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature; upx_unpack; upx_pack; remove_debug],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.860873,6.2700000000000005,9,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature; upx_unpack; upx_pack; remove_debug; section_add],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.860873,6.6000000000000005,10,5,0,1,[imports_append; section_add; break_optional_header_checksum; upx_pack; remove_signature; upx_unpack; upx_pack; remove_debug; section_add; upx_unpack],5b21bf9061fc51936eb8e07db99e839e1d19992dfb6d902cd7c540daa7ece2d2
0.84746325,3.6300000000000003,1,6,0,1,[remove_debug],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,3.9600000000000004,2,6,0,1,[remove_debug; imports_append],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,4.29,3,6,0,1,[remove_debug; imports_append; remove_debug],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,4.62,4,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,4.95,5,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,5.28,6,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum; section_rename],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,5.61,7,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum; section_rename; section_rename],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,5.94,8,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum; section_rename; section_rename; section_rename],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,6.2700000000000005,9,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum; section_rename; section_rename; section_rename; overlay_append],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.847466,6.6000000000000005,10,6,0,1,[remove_debug; imports_append; remove_debug; remove_debug; break_optional_header_checksum; section_rename; section_rename; section_rename; overlay_append; remove_debug],f69546f104fa3faacdadcc54a3a395e95b22a662a183ca29ff2a98ca92e2e49f
0.7378575,3.6300000000000003,1,7,0,1,[section_add],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,3.9600000000000004,2,7,0,1,[section_add; remove_debug],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,4.29,3,7,0,1,[section_add; remove_debug; section_rename],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,4.62,4,7,0,1,[section_add; remove_debug; section_rename; upx_unpack],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,4.95,5,7,0,1,[section_add; remove_debug; section_rename; upx_unpack; upx_unpack],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,5.28,6,7,0,1,[section_add; remove_debug; section_rename; upx_unpack; upx_unpack; remove_signature],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,5.61,7,7,0,1,[section_add; remove_debug; section_rename; upx_unpack; upx_unpack; remove_signature; remove_signature],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
0.7378575,5.94,8,7,0,1,[section_add; remove_debug; section_rename; upx_unpack; upx_unpack; remove_signature; remove_signature; remove_debug],09901743cff58c1657988dc7512587adf45bfa936f15833806f8df29156f0628
