detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.9799688687249527,3.6300000000000003,1,1,0,1,[upx_pack],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9769448827181824,3.9600000000000004,2,1,0,1,[upx_pack; break_optional_header_checksum],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9769448827181824,4.29,3,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9769448827181824,4.62,4,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9769448827181824,4.95,5,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9769448827181824,5.28,6,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature; break_optional_header_checksum],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9799688687249527,5.61,7,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature; break_optional_header_checksum; upx_pack],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9611563153380854,5.94,8,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature; break_optional_header_checksum; upx_pack; section_append],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9704348845181071,6.2700000000000005,9,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature; break_optional_header_checksum; upx_pack; section_append; section_rename],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
0.9759366423687396,6.6000000000000005,10,1,0,1,[upx_pack; break_optional_header_checksum; break_optional_header_checksum; break_optional_header_checksum; remove_signature; break_optional_header_checksum; upx_pack; section_append; section_rename; overlay_append],cbd76158d8079ae9506f2fe8aba368a1de66494713a66e90fee801ef83d0ea88
