detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.78447,3.6300000000000003,1,1,0,1,[section_append],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.78447,3.9600000000000004,2,1,0,1,[section_append; upx_unpack],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.78447,4.29,3,1,0,1,[section_append; upx_unpack; remove_debug],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.78447,4.62,4,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.78447,4.95,5,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.77158576,5.28,6,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug; upx_pack],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.77158576,5.61,7,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug; upx_pack; upx_pack],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.77158576,5.94,8,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug; upx_pack; upx_pack; section_rename],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.77158576,6.2700000000000005,9,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug; upx_pack; upx_pack; section_rename; imports_append],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.77158576,6.6000000000000005,10,1,0,1,[section_append; upx_unpack; remove_debug; overlay_append; remove_debug; upx_pack; upx_pack; section_rename; imports_append; imports_append],a0bd4f5eabb5c78d717901e36e81d98723bb3fcbea25892c78fb294686f9c340
0.7519436,3.6300000000000003,1,2,0,1,[remove_signature],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
0.7519436,3.9600000000000004,2,2,0,1,[remove_signature; remove_signature],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
0.7519443,4.29,3,2,0,1,[remove_signature; remove_signature; imports_append],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
0.7519443,4.62,4,2,0,1,[remove_signature; remove_signature; imports_append; break_optional_header_checksum],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
0.7519443,4.95,5,2,0,1,[remove_signature; remove_signature; imports_append; break_optional_header_checksum; remove_debug],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
0.7519443,5.28,6,2,0,1,[remove_signature; remove_signature; imports_append; break_optional_header_checksum; remove_debug; remove_signature],d296bf55dd98af2f950f940c594eeaf31f3be91a7dd667f047a6e2455b986140
