detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.84746325,3.6300000000000003,1,1,0,1,[section_rename],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.84746325,3.9600000000000004,2,1,0,1,[section_rename; overlay_append],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.84746325,4.29,3,1,0,1,[section_rename; overlay_append; section_add],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.84746325,4.62,4,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.84746325,4.95,5,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.847466,5.28,6,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add; imports_append],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.847466,5.61,7,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add; imports_append; remove_debug],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.847466,5.94,8,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add; imports_append; remove_debug; overlay_append],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.847466,6.2700000000000005,9,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add; imports_append; remove_debug; overlay_append; remove_debug],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.847466,6.6000000000000005,10,1,0,1,[section_rename; overlay_append; section_add; break_optional_header_checksum; section_add; imports_append; remove_debug; overlay_append; remove_debug; remove_debug],cbd387c942fd9622f34329fc62141b97bc97efcf986e83d943255a09e3dca709
0.8610036,3.6300000000000003,1,2,0,1,[overlay_append],227ebe2fa00a436cee21bf52b2b3d12966ba809aa4d365f3701999b71bc8a739
0.8610036,3.9600000000000004,2,2,0,1,[overlay_append; overlay_append],227ebe2fa00a436cee21bf52b2b3d12966ba809aa4d365f3701999b71bc8a739
0.8610036,4.29,3,2,0,1,[overlay_append; overlay_append; overlay_append],227ebe2fa00a436cee21bf52b2b3d12966ba809aa4d365f3701999b71bc8a739
0.8610036,4.62,4,2,0,1,[overlay_append; overlay_append; overlay_append; overlay_append],227ebe2fa00a436cee21bf52b2b3d12966ba809aa4d365f3701999b71bc8a739
0.8610036,4.95,5,2,0,1,[overlay_append; overlay_append; overlay_append; overlay_append; break_optional_header_checksum],227ebe2fa00a436cee21bf52b2b3d12966ba809aa4d365f3701999b71bc8a739
