detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.9983027,0.33,1,1,0,0,[section_add],24ff21f0a0432c8a00ee56a88a76c6d84908c815739dd747ccd521faa44e4959
0.99701524,0.33,1,2,0,0,[upx_unpack],a7f2b29fe7fd6f2e4bac7e4475cb322ca7e30f1d7b98627dd0ebfb4f1062bf63
0.9499892,3.6300000000000003,1,3,0,1,[break_optional_header_checksum],b6786c736bd96a439f59d7d41f82f673262c36152e236bea4dbbab3f6b5fcbe3
0.9499892,0.66,2,3,0,0,[break_optional_header_checksum; section_add],b6786c736bd96a439f59d7d41f82f673262c36152e236bea4dbbab3f6b5fcbe3
0.9941703,3.6300000000000003,1,4,0,1,[section_append],8d7fe82d00ced8a027c3b70bcdfc32d70424e07d5bd87e08a9470ac0fdf15847
0.9941703,0.66,2,4,0,0,[section_append; section_add],8d7fe82d00ced8a027c3b70bcdfc32d70424e07d5bd87e08a9470ac0fdf15847
0.9870991,3.6300000000000003,1,5,0,1,[section_append],f9cf06c2dee3ec36eea5f2c2f47d21c3c0d66190b5ea4592150ea0f9945fb9d7
0.9870991,3.9600000000000004,2,5,0,1,[section_append; break_optional_header_checksum],f9cf06c2dee3ec36eea5f2c2f47d21c3c0d66190b5ea4592150ea0f9945fb9d7
0.98811626,4.29,3,5,0,1,[section_append; break_optional_header_checksum; overlay_append],f9cf06c2dee3ec36eea5f2c2f47d21c3c0d66190b5ea4592150ea0f9945fb9d7
0.98791724,1.32,4,5,0,0,[section_append; break_optional_header_checksum; overlay_append; section_add],f9cf06c2dee3ec36eea5f2c2f47d21c3c0d66190b5ea4592150ea0f9945fb9d7
0.9971614,0.33,1,6,0,0,[section_add],2c61d94d90bec75c8afbd1bd70bb1d9b9a7f48b77a9d6b7bea000ed638f845e7
0.98827434,0.33,1,7,0,0,[section_add],0f5c3ca5240f21538958ff98e785c4775d5f175b408864ad2611e32fa3869627
0.99092776,3.6300000000000003,1,8,0,1,[break_optional_header_checksum],5c4a1269cc2eb5483e1c33822763c9590639b7d5388b4eaae547accac853b527
