detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.9825948,3.6300000000000003,1,1,0,1,[overlay_append],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,3.9600000000000004,2,1,0,1,[overlay_append; imports_append],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,4.29,3,1,0,1,[overlay_append; imports_append; overlay_append],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,4.62,4,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,4.95,5,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,5.28,6,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature; break_optional_header_checksum],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,5.61,7,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature; break_optional_header_checksum; remove_signature],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,5.94,8,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature; break_optional_header_checksum; remove_signature; remove_signature],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,6.2700000000000005,9,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature; break_optional_header_checksum; remove_signature; remove_signature; overlay_append],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9825948,6.6000000000000005,10,1,0,1,[overlay_append; imports_append; overlay_append; remove_debug; remove_signature; break_optional_header_checksum; remove_signature; remove_signature; overlay_append; section_append],78c504faf1485d9f6425362512a7218e2d48e0a4d094e553d24ece63ae4c81e8
0.9877253,3.6300000000000003,1,2,0,1,[imports_append],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,3.9600000000000004,2,2,0,1,[imports_append; section_rename],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,4.29,3,2,0,1,[imports_append; section_rename; break_optional_header_checksum],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,4.62,4,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,4.95,5,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append; remove_signature],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,5.28,6,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append; remove_signature; upx_unpack],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,5.61,7,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append; remove_signature; upx_unpack; overlay_append],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,5.94,8,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append; remove_signature; upx_unpack; overlay_append; upx_unpack],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
0.9877253,6.2700000000000005,9,2,0,1,[imports_append; section_rename; break_optional_header_checksum; overlay_append; remove_signature; upx_unpack; overlay_append; upx_unpack; section_append],83cb7b1e19836efb5b6d95ad2198e1098b265800a39437cbf890ceadd3819246
