detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.9822801,3.6300000000000003,1,1,0,1,[section_append],d8236ecb92a5840d3517053a5885b74e20374566869456218226061f19be3be6
0.10019158,7.260000000000001,2,1,1,1,[section_append; upx_pack],d8236ecb92a5840d3517053a5885b74e20374566869456218226061f19be3be6
0.22844708,6.930000000000001,1,2,1,1,[imports_append],317f6422eef4e944f08e5d7e14cad84842a9f33f61a1987e5979019a72be28f0
0.02175125,6.930000000000001,1,3,1,1,[imports_append],7bcea2f5aabede0bad4306dfeee7e68b810adc97bf04646e1e3ac73051062b51
0.9621262,3.6300000000000003,1,4,0,1,[imports_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.9621262,3.9600000000000004,2,4,0,1,[imports_append; overlay_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.957043,4.29,3,4,0,1,[imports_append; overlay_append; section_add],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.957043,4.62,4,4,0,1,[imports_append; overlay_append; section_add; remove_debug],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.957043,4.95,5,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.93950444,5.28,6,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature; imports_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.93950444,5.61,7,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature; imports_append; overlay_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.93950444,5.94,8,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature; imports_append; overlay_append; section_rename],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.93950444,6.2700000000000005,9,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature; imports_append; overlay_append; section_rename; section_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.9294124,6.6000000000000005,10,4,0,1,[imports_append; overlay_append; section_add; remove_debug; remove_signature; imports_append; overlay_append; section_rename; section_append; imports_append],339c67c2aaa2f7bc23ea77b1320a0dc43519a0561644c5bbc0b698c256cdf138
0.9717116,3.6300000000000003,1,5,0,1,[imports_append],5b331d12a506aaa06fd9fdab04ab5ddeb107cf9046370a9b448bf780ec555c2d
0.9717116,3.9600000000000004,2,5,0,1,[imports_append; section_rename],5b331d12a506aaa06fd9fdab04ab5ddeb107cf9046370a9b448bf780ec555c2d
0.9717116,4.29,3,5,0,1,[imports_append; section_rename; imports_append],5b331d12a506aaa06fd9fdab04ab5ddeb107cf9046370a9b448bf780ec555c2d
0.9717116,4.62,4,5,0,1,[imports_append; section_rename; imports_append; remove_signature],5b331d12a506aaa06fd9fdab04ab5ddeb107cf9046370a9b448bf780ec555c2d
0.97451246,4.95,5,5,0,1,[imports_append; section_rename; imports_append; remove_signature; imports_append],5b331d12a506aaa06fd9fdab04ab5ddeb107cf9046370a9b448bf780ec555c2d
