detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.9963193,3.6300000000000003,1,1,0,1,[remove_signature],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,3.9600000000000004,2,1,0,1,[remove_signature; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,4.29,3,1,0,1,[remove_signature; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,4.62,4,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,4.95,5,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,5.28,6,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,5.61,7,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,5.94,8,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,6.2700000000000005,9,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.9963193,6.6000000000000005,10,1,0,1,[remove_signature; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug; remove_debug],4f2a2ce6e5a67d143508d1fbd3ec9cc9d767c4ab8915b448a6d7d8987f140502
0.82564175,3.6300000000000003,1,2,0,1,[upx_unpack],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9120774,3.9600000000000004,2,2,0,1,[upx_unpack; imports_append],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9120774,4.29,3,2,0,1,[upx_unpack; imports_append; overlay_append],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9120774,4.62,4,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9131361,4.95,5,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename; section_add],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9131361,5.28,6,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename; section_add; remove_signature],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9216959,5.61,7,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename; section_add; remove_signature; section_add],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.9216959,5.94,8,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename; section_add; remove_signature; section_add; remove_debug],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.919861,6.2700000000000005,9,2,0,1,[upx_unpack; imports_append; overlay_append; section_rename; section_add; remove_signature; section_add; remove_debug; section_add],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.89986867,3.3000000000000003,10,2,0,0,[upx_unpack; imports_append; overlay_append; section_rename; section_add; remove_signature; section_add; remove_debug; section_add; section_add],d0c31ecd4a2bf1139b0903160a85ca3e773df2285a0da57fac155cfef60954b0
0.47870022,6.930000000000001,1,3,1,1,[upx_unpack],471f646bc59743f27f1bb08ef688a699c3ff268eeab403cea8ec7467f303c2f3
0.9963266,3.6300000000000003,1,4,0,1,[upx_unpack],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
0.9963266,3.9600000000000004,2,4,0,1,[upx_unpack; upx_unpack],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
0.9963266,4.29,3,4,0,1,[upx_unpack; upx_unpack; upx_unpack],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
0.9963266,4.62,4,4,0,1,[upx_unpack; upx_unpack; upx_unpack; overlay_append],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
0.9963266,4.95,5,4,0,1,[upx_unpack; upx_unpack; upx_unpack; overlay_append; remove_signature],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
0.9964269,5.28,6,4,0,1,[upx_unpack; upx_unpack; upx_unpack; overlay_append; remove_signature; section_rename],f5d3b645c30b9783808d55dee96a790683723e82885070cb1fbbe7c50753e5fa
