detection_value,reward,turn,episode,adversarial,functional,actions_taken,malware
0.8353259,0.33,1,1,0,0,[upx_unpack],4d7cf47b7afcd4b52bd5a97a4705edd8a93dbeb8bb722b4e3321a1052099124a
0.9320069,0.33,1,2,0,0,[remove_signature],a38c6f04ad56e8c855ec908221c3da09a2cf8507b345f7e67e480c62e257fd63
0.9988997,0.33,1,3,0,0,[upx_pack],5e6d3c8bb876913d140c3597b63212e67c52c38e57ce6c728f96f76b8dae58dc
0.9266301,0.33,1,4,0,0,[overlay_append],172f359baa478d80a9a8eccde0393e3fb8a58f0444a1b71d99d87c6a50855297
0.9941619,0.33,1,5,0,0,[section_rename],9d89191134fb3945becc25e05a3c2b58683bdc0ba18d526e46ae803860405216
